name,encoding_time_mean,decoding_time_mean,encoded_size_mean,photo,encoding_time_var,decoding_time_var,encoded_size_var,original_size,compression_ratio,measurement_count
Test__vector-glassy-button-cs-by-dragonart.ppm.ppm,25,20,3000044,False,0,0,0,3000042,0.999999333343111,1
Test__vector-music-melody-preview_PNGOUT.ppm.ppm,10,11,735117,False,0,0,0,735115,0.9999972793446485,1
Test_01-03_rouders_PNGOUT.ppm.ppm,13,12,378042,False,0,0,0,378040,0.9999947095825331,1
Test_01PNG-PNGOUTWin_PNGOUT.ppm.ppm,60,61,14069743,False,0,0,0,14069741,0.9999998578509928,1
Test_02_Schluesselfelder_Schiff-PNG.ppm.ppm,9,8,750042,True,0,0,0,750040,0.9999973334826583,1
Test_02PNG-PNGOUTWin.ppm.ppm,24,25,4576544,False,0,0,0,4576542,0.9999995629890153,1
Test_03PNG-PNGOUTWin.ppm.ppm,66,58,15580268,False,0,0,0,15580266,0.9999998716325034,1
Test_20_petra_cold_landscape.png.ppm,14,18,2359312,True,0,0,0,2359312,1,1
Test_20080227053020!Myoglobin_PNGOUT.ppm.ppm,14,12,1318602,False,0,0,0,1318600,0.9999984832421004,1
Test_248080202_731e632c11_o.png.ppm,9,10,750015,False,0,0,0,750015,1,1
Test_275000.ppm.ppm,12,12,1064382,True,0,0,0,1064380,0.9999981209753641,1
Test_275001.ppm.ppm,11,11,1069305,True,0,0,0,1069303,0.9999981296262526,1
Test_275002.ppm.ppm,13,11,1085622,True,0,0,0,1085620,0.9999981577381446,1
Test_275003.ppm.ppm,10,12,1090062,True,0,0,0,1090060,0.999998165241977,1
Test_275004.ppm.ppm,10,12,1088589,True,0,0,0,1088587,0.9999981627593151,1
Test_275005.ppm.ppm,13,13,1073724,True,0,0,0,1073724,1,1
Test_275006.ppm.ppm,12,13,1087062,True,0,0,0,1087062,1,1
Test_275007.ppm.ppm,14,11,1075173,True,0,0,0,1075173,1,1
Test_275008.ppm.ppm,13,12,1090755,True,0,0,0,1090755,1,1
Test_275009.ppm.ppm,10,12,1073850,True,0,0,0,1073850,1,1
