name,photo
Test_Lady+Gaga+PNG.ppm,1
Test_ladybug_landscape.png,0
Test_lake1.ppm,1
Test_Landscape.png,0
Test_Landscape_002.png,0
Test_Landscape_Full_HD_by_depARTed89.png,0
Test_langfristchart_historischer_chart_orangensaft_PNGOUT.ppm,0
Test_lawn-v6h3.ppm,1
Test_leaves-12.ppm,1
Test_leaves-6n3y.ppm,1
Test_leaves-kijj7.ppm,1
Test_leaves-mval_small.ppm,1
Test_light_world-1_PNGOUT.ppm,0
Test_Logo_3.png,0
Test_lunar-lander.ppm,1
Test_macro-765.ppm,1
Test_Map_118230550922074.ppm,0
Test_map_vicinity.png,0
Test_mcn-cokedublin-43s.png,0
Test_mediothek_landscape.png,0
Test_meditate_fel_PNGOUT.ppm,0
Test_Merian-PNG.png,0
Test_Michelangelo_David.ppm,1
Test_misc-09.ppm,1
Test_MMSposter-large.png,1
Test_night-379.ppm,1
Test_noir-diabolik-guitar-hommess_design.png,0
Test_Nukleationskern_Fluessigkeit.ppm,0
Test_Oblivion2007101513345379.png,0
Test_Oblivion2007101714023034.png,0
Test_Oblivion2007101714024170.png,0
Test_Oblivion2007101714040018.png,0
Test_o-png24_PNGOUT.ppm,1
Test_orm-makeposter2008-14t.png,0
Test_P_thin_ext_cor_BlackBodyCT.ppm,0
Test_p08_PNGOUT.ppm,1
Test_party_4s.ppm,1
Test_pasodoble1.png,1
Test_pasodoble3.png,1
Test_pc-z5e2.ppm,1
Test_pebbles.ppm,1
Test_people-126.ppm,1
Test_periodensystem-1280x887.png,0
Test_pie_charts_3d.ppm,0
Test_pixelart3jpg.png,0
Test_plant-fol2.ppm,1
Test_png.png,0
Test_png-8passes_PNGOUT.ppm,0
Test_png-9passes.ppm,0
Test_png-IceAlpha-ie5mac.ppm,0
Test_police.png,0
Test_prismIcon.png,0
Test_PT_babeltower_01t1.png,0
Test_PTHNWIDE_WaveletsGamma_LVGamp16Contp8.ppm,0
Test_puzzle-p7z.ppm,1
Test_pzbr11_0.16.10_PNGOUT.ppm,1
Test_rapeseed-z83.ppm,1
Test_reactos_0.3.1_booklet_cover.png,0
Test_reba.ppm,1
Test_redhead.ppm,1
Test_roof-uh8k.ppm,1
Test_rope-239.ppm,1
Test_rubbish-water-2ju8.ppm,1
Test_satellite.ppm,0
Test_saturn.ppm,1
Test_save-png-dialog.png,0
Test_ScreenShot37.png,0
Test_ScreenShot39.png,0
Test_seagull.ppm,1
Test_server.ppm,1
Test_shadow.ppm,1
Test_ship.rgb.ppm,1
Test_soft-drinks-7z2.ppm,1
Test_soldier_x.png,0
Test_Splenda-povray.ppm,0
Test_Spring1887.ppm,0
Test_steamtrain.ppm,1
Test_stockschütze.png,0
Test_stone-i9sv.ppm,1
Test_stones-cairns-76.ppm,1
Test_stones-dx68.ppm,1
Test_stones-g7x9.ppm,1
Test_stones-t8c3.ppm,1
Test_sunflower.ppm,1
Test_sunset3.ppm,1
Test_supersexygirls-pack-2.png,0
Test_SXI_20060706_151118162_AA_13_first.ppm,0
Test_tajmahal.ppm,0
Test_tangoIcons.png,0
Test_Tectonic_plates.png,0
Test_text.ppm,0
Test_texture-009.ppm,1
Test_TF3D_Landscape.png,0
Test_The_Earth_seen_from_Apollo_17_PNGOUT.ppm,1
Test_The+Saturdays+Better+Quality+in+PNG.ppm,1
Test_The+Veronicas+PNG.ppm,1
Test_TIC_Wallpaper001.png,0
Test_tiger.ppm,1
Test_tree-32.ppm,1
Test_tree-794.ppm,1
Test_tree-flowers-u6v.ppm,1
Test_tux-agafix.png,0
Test_Universe_expansion.png,0
Test_wallpaper_oceanfreight_1280x960.ppm,1
Test_wallpaper_railfreight_1280x960.ppm,1
Test_water-08.ppm,1
Test_water-dx3d.ppm,1
Test_water-ual1.ppm,1
Test_water-uv5k.ppm,1
Test_WEBDESIGNER_ISSUE_100.png,0
