name,encoding_time_mean,decoding_time_mean,encoded_size_mean,photo,encoding_time_var,decoding_time_var,encoded_size_var,original_size,compression_ratio,measurement_count
Test__vector-glassy-button-cs-by-dragonart.ppm.ppm,6166,111,22249,False,0,0,0,3000017,134.8382848667356,1
Test__vector-music-melody-preview_PNGOUT.ppm.ppm,2738,32,9114,False,0,0,0,732123,80.32949308755761,1
Test_01-03_rouders_PNGOUT.ppm.ppm,3646,30,23734,False,0,0,0,378015,15.92715092272689,1
Test_01PNG-PNGOUTWin_PNGOUT.ppm.ppm,6051,138,28602,False,0,0,0,14066800,491.8117614152856,1
Test_02_Schluesselfelder_Schiff-PNG.ppm.ppm,3855,31,10963,True,0,0,0,750015,68.41329927939432,1
Test_02PNG-PNGOUTWin.ppm.ppm,6549,78,31995,False,0,0,0,4572449,142.91136115017972,1
Test_03PNG-PNGOUTWin.ppm.ppm,5773,140,33761,False,0,0,0,15573905,461.29868783507595,1
Test_20_petra_cold_landscape.png.ppm,5196,58,34682,True,0,0,0,2359312,68.02698806297215,1
Test_20080227053020!Myoglobin_PNGOUT.ppm.ppm,4626,40,11121,False,0,0,0,1318575,118.56622605880766,1
Test_248080202_731e632c11_o.png.ppm,3363,31,10940,False,0,0,0,750015,68.5571297989031,1
Test_275000.ppm.ppm,3070,34,9295,True,0,0,0,1064355,114.50833781603012,1
Test_275001.ppm.ppm,2725,35,8608,True,0,0,0,1065615,123.79356412639405,1
Test_275002.ppm.ppm,3298,37,13791,True,0,0,0,1083375,78.55666739177724,1
Test_275003.ppm.ppm,3486,37,11358,True,0,0,0,1087815,95.77522451135764,1
Test_275004.ppm.ppm,2859,35,9778,True,0,0,0,1084875,110.95060339537737,1
Test_275005.ppm.ppm,3111,36,6137,True,0,0,0,1070055,174.36125142577808,1
Test_275006.ppm.ppm,2623,36,6256,True,0,0,0,1083375,173.17375319693096,1
Test_275007.ppm.ppm,2936,37,6864,True,0,0,0,1072947,156.31512237762237,1
Test_275008.ppm.ppm,3107,34,7858,True,0,0,0,1090755,138.80822092135404,1
Test_275009.ppm.ppm,2595,36,11147,True,0,0,0,1070187,96.00672826769535,1
Test_2mpampjjpg.png.ppm,6388,62,40887,False,0,0,0,2218000,54.247071196223736,1
Test_354000.ppm.ppm,4079,39,31083,True,0,0,0,1080447,34.76006177009941,1
Test_354001.ppm.ppm,4522,42,28331,True,0,0,0,1081935,38.18908616003671,1
Test_354002.ppm.ppm,4629,41,28047,True,0,0,0,1086351,38.733233500909186,1
Test_354003.ppm.ppm,4196,40,34623,True,0,0,0,1086303,31.37518412615891,1
Test_354004.ppm.ppm,3930,39,25390,True,0,0,0,1071591,42.2052382827885,1
Test_354005.ppm.ppm,3821,39,28648,True,0,0,0,1061379,37.04897375034906,1
Test_354006.ppm.ppm,4040,40,25111,True,0,0,0,1080447,43.02684082672932,1
Test_354007.ppm.ppm,4729,44,30601,True,0,0,0,1077519,35.21188850037581,1
Test_354008.ppm.ppm,4577,40,36531,True,0,0,0,1074591,29.415865976841587,1
Test_354009.ppm.ppm,3568,42,28820,True,0,0,0,1077519,37.38789035392089,1
Test_384001.ppm.ppm,3821,39,25441,True,0,0,0,1068735,42.0083723124091,1
Test_384002.ppm.ppm,3452,36,19104,True,0,0,0,1071663,56.09626256281407,1
Test_384003.ppm.ppm,3914,39,20506,True,0,0,0,1087815,53.048619916122114,1
Test_384004.ppm.ppm,4146,68,29817,True,0,0,0,1179663,39.56343696548949,1
Test_384006.ppm.ppm,3612,39,21899,True,0,0,0,1078911,49.2675921274944,1
Test_384007.ppm.ppm,4375,45,29991,True,0,0,0,1064355,35.48914674402321,1
Test_384009.ppm.ppm,4556,43,37161,True,0,0,0,1081935,29.114797771857592,1
Test_384010.ppm.ppm,3717,40,29344,True,0,0,0,1067163,36.36733233369684,1
Test_384010-2.ppm.ppm,3545,33,25438,True,0,0,0,737295,28.98400031449013,1
Test_384011.ppm.ppm,4955,42,24615,True,0,0,0,1059951,43.06118220597197,1
Test_500px-Roadmap_to_Unicode_BMP_de.svg.png.ppm,4270,28,8869,False,0,0,0,468015,52.76975983763671,1
Test_618px-Speed1c.ppm.ppm,3868,40,22381,False,0,0,0,1112415,49.70354318395067,1
Test_800px-0849_pilar_ebro_2004.ppm.ppm,3381,38,19312,True,0,0,0,1176015,60.89555716652858,1
Test_Alexandra+Burke+SUPER+HQ++PNG.ppm.ppm,3454,35,18376,True,0,0,0,795015,43.26376795820636,1
Test_architecture-5ao.ppm.ppm,5307,73,26039,True,0,0,0,3961816,152.14931448980374,1
Test_architecture-7q7.ppm.ppm,5079,66,29770,True,0,0,0,3961816,133.08081961706415,1
Test_artificial8_full_PNGOUT.ppm.ppm,5446,162,30016,False,0,0,0,18874385,628.8108009061833,1
Test_Ashton_landscape.png.ppm,5145,59,35102,True,0,0,0,2359312,67.21303629422825,1
Test_aspens.ppm.ppm,4148,43,29883,True,0,0,0,968775,32.41893384198374,1
Test_auto1.ppm.ppm,4116,41,23943,True,0,0,0,1440015,60.14346573111139,1
Test_balloon.ppm.ppm,3939,32,20691,True,0,0,0,740367,35.78207916485429,1
Test_barbara_PNGOUT.ppm.ppm,4795,42,29696,True,0,0,0,1244175,41.89705684267241,1
Test_barbara2_PNGOUT.ppm.ppm,4133,39,33403,True,0,0,0,1244175,37.24740292788073,1
Test_battery-6rc0.ppm.ppm,7173,68,44385,True,0,0,0,3961816,89.2602455784612,1
Test_beach1.ppm.ppm,4067,36,26150,True,0,0,0,740367,28.312313575525813,1
Test_beach2.ppm.ppm,4005,34,27122,True,0,0,0,740367,27.297655040188776,1
Test_bear.ppm.ppm,2611,26,11585,True,0,0,0,332583,28.708070781182563,1
Test_BigBuckBunny-Landscape.png.ppm,6406,85,38809,False,0,0,0,5760017,148.419619160504,1
Test_bike.rgb_PNGOUT.ppm.ppm,5373,136,28958,True,0,0,0,15728657,543.154119759652,1
Test_bike3.ppm.ppm,6140,54,32034,True,0,0,0,2148135,67.05796965723918,1
Test_black.ppm.ppm,4247,43,16922,True,0,0,0,1244175,73.52411062522161,1
Test_BlockMap_Photoshop_PNGOUT.ppm.ppm,5458,99,31021,True,0,0,0,8631497,278.2468972631443,1
Test_BML_CAT_Chartres_03k_PNGOUT.ppm.ppm,5077,48,30734,False,0,0,0,1555863,50.62351142057656,1
Test_boots_PNGOUT.ppm.ppm,5201,60,32198,False,0,0,0,2608132,81.00291943598981,1
Test_Bretagne2.ppm.ppm,6600,132,40980,True,0,0,0,15116561,368.8765495363592,1
Test_brick.ppm.ppm,5595,141,32634,True,0,0,0,15116561,463.2150824293681,1
Test_bullfight.ppm.ppm,3015,30,18180,True,0,0,0,294927,16.222607260726072,1
Test_BumbleBee_HedKase.ppm.ppm,4322,342,21982,False,0,0,0,58320017,2653.080565917569,1
Test_cafe.rgb.ppm.ppm,6567,148,37265,True,0,0,0,15728657,422.07586206896553,1
Test_captured_Image-png_4d60c4b0-7133-4ef8-bbe0-be0e27b0bf29_PNGOUT.ppm.ppm,3860,35,21126,False,0,0,0,744015,35.2179778472025,1
Test_carpets-j4h.ppm.ppm,6650,73,42727,True,0,0,0,3961816,92.72394504645774,1
Test_cathedral.ppm.ppm,5882,156,35775,True,0,0,0,18048017,504.48684835779176,1
Test_cement.ppm.ppm,4230,131,28249,True,0,0,0,15116561,535.1184466706786,1
Test_Cevennes1.ppm.ppm,5663,140,45289,True,0,0,0,15116561,333.779968645808,1
Test_Cevennes2.ppm.ppm,2014,32,5404,True,0,0,0,921615,170.54311621021466,1
Test_Chart_pulinco_PNGOUT.ppm.ppm,5189,54,17053,False,0,0,0,2423536,142.1178678238433,1
Test_chart2_PNGOUT.ppm.ppm,2769,44,7181,False,0,0,0,2024475,281.9210416376549,1
Test_ChartBuilder_PNGOUT.ppm.ppm,4890,42,13360,False,0,0,0,1727523,129.3056137724551,1
Test_chinook.ppm.ppm,2944,34,7780,True,0,0,0,1179663,151.62763496143958,1
Test_ciudad-2_0.png.ppm,5650,52,36674,False,0,0,0,1491855,40.678818781698205,1
Test_coffee2-216x300.png.ppm,2095,23,9311,False,0,0,0,194415,20.880141767801526,1
Test_colours-10.ppm.ppm,6708,72,31714,True,0,0,0,3961816,124.92325156082487,1
Test_colours-an5.ppm.ppm,7015,71,46921,True,0,0,0,3961816,84.43588158820144,1
Test_computer-301.ppm.ppm,5951,91,35636,True,0,0,0,3961816,111.17454259737345,1
Test_computer-309.ppm.ppm,6812,71,36741,True,0,0,0,3961816,107.8309245801693,1
Test_Cone-response.ppm.ppm,4019,43,7667,False,0,0,0,570915,74.46393635059346,1
Test_construction-06.ppm.ppm,6546,67,34241,True,0,0,0,3978856,116.20151280628487,1
Test_construction-g6vr.ppm.ppm,6333,70,36955,True,0,0,0,3961816,107.20649438506291,1
Test_construction-w7xq.ppm.ppm,5579,68,49941,True,0,0,0,3961816,79.32992931659358,1
Test_corn-j7z2.ppm.ppm,5227,68,45427,True,0,0,0,4004416,88.15057124617518,1
Test_couple.ppm.ppm,2293,24,8459,True,0,0,0,196623,23.244236907435866,1
Test_cover07_img10.png.ppm,7161,60,20275,False,0,0,0,3145745,155.15388409371147,1
Test_crowd-people-g3ky.ppm.ppm,6478,74,43776,True,0,0,0,3961816,90.50201023391813,1
Test_cubeiccp_PNGOUT.ppm.ppm,2415,36,3826,False,0,0,0,720015,188.1900156821746,1
Test_cwheel.ppm.ppm,4621,40,12716,False,0,0,0,1440015,113.24433784208871,1
Test_DarkWorld.ppm.ppm,3150,317,13616,False,0,0,0,50331665,3696.5088866039955,1
Test_demos_explorer_PNGOUT.ppm.ppm,6134,54,20785,False,0,0,0,2376232,114.3243685350012,1
Test_demos_gift-demo_PNGOUT.ppm.ppm,6266,53,21756,False,0,0,0,2326984,106.95826438683582,1
Test_Desert_landscape.png.ppm,6640,56,43449,True,0,0,0,2359312,54.30072038481898,1
Test_dev.ppm.ppm,3900,41,12748,False,0,0,0,1483215,116.3488390335739,1
Test_diabolik_001.png.ppm,1758,26,6873,False,0,0,0,241935,35.20078568310781,1
Test_diabolik_002.png.ppm,2363,35,10376,False,0,0,0,1113615,107.32604086353122,1
Test_Diabolik_animato.png.ppm,2226,36,6176,False,0,0,0,827619,134.0056670984456,1
Test_didle_PNGOUT.ppm.ppm,6953,54,22443,False,0,0,0,2124015,94.64042240342201,1
Test_disneyBMP.png.ppm,6719,56,26462,False,0,0,0,2359312,89.15849142166125,1
Test_door-e5f8.ppm.ppm,6065,66,42596,True,0,0,0,3987376,93.60916517982909,1
Test_dumper.png.ppm,2896,27,11523,False,0,0,0,287883,24.983337672481124,1
Test_eagle.ppm.ppm,2136,23,11816,True,0,0,0,139887,11.838777928232904,1
Test_ecb_berlin_07t.png.ppm,5897,58,31480,False,0,0,0,2219800,70.5146124523507,1
